context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Cameron was at a concert and the fans loved his music.,Why did Cameron do this?,make more money,keep his fans happy,get better at playing,xIntent
Skylar went camping with friends every spring to get away.,What will Skylar want to do next?,go without a tent,drink water,drink a beer,oWant
Cameron took their work seriously and tried to do their best.,What will Cameron want to do next?,take a break,like his job,wanted to succeed,oWant
Addison invited Austin to join the soccer club at the school.,How would Austin feel as a result?,jealous of Addison,upset about it,interested in joining,xReact
Quinn crossed Lee's arms and posed him for the picture.,Why did Quinn do this?,begrudgingly take the photo,did this to prepare,did this to be funny,xIntent
Taylor knew he was right and proved Carson's point that day.,Why did Taylor do this?,look dumb in front of friends,superior to others,make a statement,xIntent
Aubrey kept her friends up all night talking about her problems at work with others.,What will happen to Aubrey?,be sleepy,nothing will  happen,be invited over again,oEffect
Cameron broke their tooth and gave a call to the dentist.,What will Cameron want to do next?,go to the dentist,needed to go to the dentist,needed to see the dentist,oWant
Austin got extra help. he offered to pay other people for help.,What will the Others want to do next?,laugh in response,make a decision,be oblivious to the offer,oWant
Casey explained to Tracy he was upset because he got grounded.,What does Tracy need to do before this?,see Casey was happy,ask Casey what was wrong,they wanted to learn what was going on,xNeed
Remy prevented the enemies from engaging with her troops in the battle.,Why did Remy do this?,protect them,needed to find out where the enemies were,be hateful,xIntent
Kendall snatched her journal away from her little sister.,What will Kendall want to do next?,hide the journal,snatch it back,show remorse,oWant
"Wanting to present their feature film, Kendal showed it to all of their friends.",What will happen to Kendall?,Ask who the director is,talk to a lot of strangers,sit quietly,oEffect
"Tracy's friend, Anne admired the jewelry they wore.  Therefore, Tracy gave it to their friend.",What will Tracy want to do next?,be nice to their friend,make their friend like them,buy another one for their friend,oWant
Robin made Taylor comment on the food after they were disgusted.,What will Taylor want to do next?,ignore it,leave abruptly,be tactful,oWant
Quinn got divorced after his wife became abusive towards him.,Why did Quinn do this?,get his independence back,love his wife forever,spend time with his wife,xIntent
Kendall grabbed Jordan's hands because Jordan was trying to hit someone.,How would you describe Kendall?,defensive,decisive after grabbing Jordan,relieved after stopping Jordan,xAttr
Cameron took their work seriously and did not allow joking.,What does Cameron need to do before this?,throw a party,let everyone know the rules,be serious,xNeed
Jan went out with Quinn's friends because they are bored.,What will Jan want to do next?,go home,mess around,jan who has releived quinn's friend,oWant
"After catching them cheating together on the exam, Jan gave them an F.",Why did Jan do this?,punish their bad behavior,make them fail the class,catch them,xIntent
Taylor decided to enter the Great British Bakeoff tryouts.,How would Taylor feel afterwards?,like skipping,like they challenged themselves,woozy,xReact
Ash had the same breakfast of toast and scrambed eggs every day.,How would you describe Ash?,consistent,satisfied,Someone who values routine,xAttr
Alex grew closer to their sister after their parents died in a car accident.,How would Alex feel afterwards?,sad about their parents,comforted,ignored,xReact
kendall showed all their friends how to play the game so they could all play together.,What will Others want to do next?,play it right,win the game,play it wrong,oWant
Bailey threw their cap on the ground and walked away from it swiftly.,How would Bailey feel afterwards?,angry,hungry,depressed,xReact
Austin got extra help with the homework from his tutor since he was falling behind in class.,What will the tutor want to do next?,do their own homework on time,review homework with Austin,realize he was doing poorly in class,oWant
Carson wanted to celebrate his dad's 50th birthday with him. Carson visited their dad with a gift.,Why did Carson do this?,give carson's dad a gift,celebrate carson's dad's birthday,surprise his dad,xIntent
Cameron found Skylar's friends in the park playing some games that day.,How would Skylar feel as a result?,loved now,bored now,passive now,xReact
Jan took the kids to NYC and the saw a Broadway play with the others.,What will Others want to do next?,critique the play,purchase tickets,travel to NYC,oWant
"Riley was tring to scare Tracy, but Tracy resisted Riley's attack.",What will happen to Tracy?,go away,love the joke,pay him back,oEffect
"By telling a bad joke, Lee touched a nerve with the others, who decided they wanted to leave the party and get food.",What will Others want to do next?,The others will leave the party,The others will tell bad jokes,Issue an apology,oWant
Alex worshiped their god in their way when Alex encountered a unprecedented challenges in his life.,Why did Alex do this?,Stay true to himself,wanted to become evangelist,wanted to build confidence,xIntent
Bailey was playing a game with their friend and destroyed their enemy's base.,How would you describe Bailey?,having fun,powerful,As someone who talks about friends,xAttr
"Riley was hired as a real estate agent, and sold Sydney's house at an auction to the bidder.",Why did Riley do this?,sell the house,lose his job,ruin his reputation,xIntent
Kai swung through the trees while she was outside.,How would you describe Kai?,quiet,athletic,kai who has swung the trees,xAttr
Austin kissed Riley on the mouth on a dare from his friend.,What will Riley want to do next?,wash out her mouth,show off to his friend,dare Austin to do more,oWant
"After spending the entire day hiking in the forest, Riley began to hurt all over.",How would Riley feel afterwards?,outdoorsy,adventerous,sore,xReact
Kai handed back the computer to Will after using it to buy a product off Amazon.,What will Kai want to do next?,wanted to save money on shipping,Wait for the package,Wait for the computer,oWant
